标题,发布时间,内容,浏览量,来源列表页,链接
评估督导处开展期中教学检查工作, 发布时间: 2019-11-21,"
近日，根据学校期中教学检查总体工作安排要求，评估督导处开展了试卷核查和教师教学文件的检查工作。
此次检查共对全校
10个教学院（部），28名教师教学文件（包括教学进度计划、教案、学生作业、批改成绩记录、上课考勤），27个行政班级27门课程试卷（含部分补考试卷）进行抽查。校级督导员充分发挥个人专业优势，合理分工，对照相关教学标准，逐项逐份，仔细认真地审查了所有材料，并对审查中发现的好的典型材料以及存在的问题等进行了分析总结，提出了具体的意见建议。
通过这次检查
发现
，我校广大教师能够认真执行学校的教学管理规定和教学标准要求，教学文件整体质量较好。教学督导员希望
老
师
们
进一步加强教学投入，对存在的问题进一步加强整改，使各项教学文件更加规范。
作者：评估督导处

张晓敏

编辑：赵珣

编审：汪少龙


",,25,https://www.suet.edu.cn/info/1026/2498.htm
教育部国际司出国留学工作处高级研究员苗丹国一行来我校调研, 发布时间: 2019-11-21,"
11月20日，教育部国际司出国留学工作
处
高级研究员苗丹国一行四人来我校调研，校长吴梦军、副校长王守光、继续教育学院院长史守如
陪同调研并在卓越楼第一会议室进行座谈
，双方就我校国际交流工作深入探讨并达成共识。
座谈会前
，苗丹国在副校长王守光的陪同下，参观了我校交通工程训练中心、机械工程训练中心、鼎利学院实训中心等，苗丹国一行对我校先进的实验实训设备和产教深度融合、校企协同育人的教学理念给予高度赞赏，希望
双方
今后进一步加强交流与协作。
座谈会上，校长吴梦军对苗丹国一行专程从北京来我校调研指导表示感谢，并就我校历史沿革、办学成就以及升本后国际化发展的规划向苗丹国一行
作了
详细介绍。
苗丹国介绍了我国中外合作办学的基本情况，对我国目前出国留学政策进行了解读，并对出国留学和回国工作现状进行了分析
，
对我校国际交流工作提出了中肯的指导建议
。
会谈中，苗丹国对我校明年准备举办
“2020年中加国际教育高端论坛（山东分会场）”提供了建议，并表示将全力支持。
作者：招生与就业指导中心

马仕军

编辑：赵珣

编审：汪少龙


",,25,https://www.suet.edu.cn/info/1026/2499.htm
我校举办首届学生作业展, 发布时间: 2019-11-21,"
11月14日
-15日
，山东工程职业技术大学
成功举办
了首届学生作业
、
课堂笔记展览。
此次
展览以各学院为单位进行组织，基础教学部、思政课教学部、心理健康教育教研室做好协助工作，教务处、评估督导处、学校学生教学信息中心进行检查打分评比。副校长张有志莅临现场，对各个学院在展览中展现出的良好风貌给予了充分肯定。
此次展览
以推先树优、典型带动为主题，以展示教学特色
,激发同学们的学习兴趣为目的，
各个学院都进行了完备的组织与布置，充分展现各学院特色与风采。
现代艺术学院
组织的展览
思路广泛
、别出心裁，以实践的形式展现专业风采，受到领导老师和同学们的一致好评；
工商
管理
学院
的展览现场布置整洁、组织有序，参展的课堂笔记和作业都是含金量十足；
信息工程学院
通过此次展览体现出了新颖的
思路办学理念及教育模式
。
作者：教务处

李明月

编辑：赵珣

编审：汪少龙
",,25,https://www.suet.edu.cn/info/1026/2500.htm
我校当选中国民办教育协会职业教育专业委员会副理事长单位, 发布时间: 2019-11-22,"
11月16日-18日，由中国民办教育协会主办、山东外事职业大学承办的“中国民办教育协会职业教育专业委员会成立大会”暨“精准推动职业教育创新论坛”在威海顺利召开。中国民办教育协会职业教育专业委员会蔺琪理事长主持会议。首批全国职业本科试点的15所院校，及特邀职业院校、协会、教育集团等25家单位70余名代表参会。
16日上午，中国民办教育协会会长王佐书在会上宣读中国民办教育协会职业教育专业委员会成立文件并颁发聘书。我校当选中国民办教育协会职业教育专业委员会副理事长单位，校长吴梦军担任副理事长。
王佐书会长在讲话中重申
，
中国民办教育协会职业教育专业委员会的职责是为各民办学校做好服务，也是为人民服务。做好服务的基础是团结，众人拾柴火焰高，各大民办院校应团结起来、密切合作，职业教育专业委员会要积极协助各大院校发展，为其发展中遇到的难题出谋划策，做好服务者这一角色，办好民办教育。
在
16日下午的“精准推动职业教育创新论坛”上，威海职业学院党委书记吴永刚作了主旨报告。17—18日，王佐书会长为前来参会的民办职业院校的董事长、理事长、校长、教务处长、教研室主任等作了题为“精准创新职业教育”的主题培训。
吴梦军校长表示，
我校作为职教专委会副理事长单位深感责任重大、使命光荣。今后，我校将始终坚持以习近平新时代中国特色社会主义思想为指导，踏踏实实做好职业本科试点工作，为促进经济社会发展和提高国家竞争力提供优质人才资源支撑。
作者：党政办公室

王允芹

编辑：赵珣

编审：汪少龙

",,25,https://www.suet.edu.cn/info/1026/2495.htm
我校召开在线教学平台使用培训会 , 发布时间: 2019-11-22,"
为加快学校信息化教学建设，提高教师教学信息化水平，
11月21日下午，学校在卓越楼党员活动室召开了在线教学平台使用培训会，学校教学管理人员、全体无课教师参加了培训会，会议由教务处副处长池光胜主持。
此次培训包括两大在线教学平台的应用。首先，由教育部在线教育研究中心课程顾问
、
学堂在线雨课堂培训山东负责人许腾老师对在线教学平台雨课堂进行了介绍，让老师了解在不同场景如何使用雨课堂平台开展教学，展示了如何在平台上发布测验、发布作业、建设试题库和资源库、完成课堂互动、成绩的统计与分析等操作
。
同时，让
参加
培训
的
教师以学生的角色体验课堂教学的互动环节，在平台上参与讨论、回答问题，并针对教师在平台上提出的问题进行解答。接着由我校基础教学部赵世磊老师为大家分享了在线教学课程云班课的使用经验，展示了如何使用云班课平台进行课堂签到、发布问题、布置作业、成绩统计与分析等功能。
作者：教务处

孙良静

编辑：赵珣

编审：汪少龙
",,25,https://www.suet.edu.cn/info/1026/2496.htm
我校开展无偿献血志愿活动, 发布时间: 2019-11-22,"
11月21日，我校在图书馆前校标广场开展“不忘初心 牢记使命”无偿献血志愿活动。
献血时间持续
8个小时，有932人参加了献血,单日献血量达226750毫升。
当日
上午
，济南市血液供保中心的
六
辆献血车驶入我
校
校园内
，我校献血志愿者们早已排起了长队。
9点献血活动开始，信息登记、血液类型检验、静脉采血、观察休息、领献血证，整个献血过程井然有序。很多同学反映已不是第一次献血所以一点都不紧张；更有同学表示，作为新时代的青年人，我们有责任、有义务为社会做出自己的贡献。
我校学生处处长王万里接受了济南电视台记者采访。他表示，一直以来
，我
校
高度重视无偿献血工作，每年学
校
都将无偿献血工作作为专项工作，纳入年度工作计划，统一部署组织。
学生处（团委）
负责学校无偿献血工作的组织与开展，全面负责无偿献血、爱心募捐、爱滋病防治等各项工作。
校
党委行政对无偿献血工作一直给予高度的重视和支持，学
校
充分认识到无偿献血工作在加强大学生思想道德教育、心理健康教育和职业道德教育等方面的积极作用，在人、财、物等方面予以大力支持和保证，有力地推进了此项工作的
开
展。无偿献血工作被纳入了学
校
精神文明建设的内容，成为学
校
精神文明建设工作中的一个亮点。近年来，
全校累计
近
8000
余人次成功进行了无偿献血，为省、市血站无偿献血近
200多万ML。
我
校
先后荣获山东省无偿献血先进单位、济南市无偿献血先进单位
”称号。
作者：团委

皮娜

编辑：赵珣

编审：汪少龙
",,25,https://www.suet.edu.cn/info/1026/2497.htm
台湾环球科技大学校长沈建华一行来我校参观考察, 发布时间: 2019-11-25,"
11月25日上午，台湾
环
球科技大学校长沈建华、幼儿保育系主任任彦怀、国际及两岸事务处副国际长简敏芳一行三人来我校参观考察
。我校
副校长王守光、教务处兼合作开发处处长牛翔、校办公室副主任张元、招生与就业指导中心副主任武云涛、科长马仕军代表我校热情接待了沈
建华
一行。
来宾们在校领导的陪同下参观了机械工程训练中心、鼎利学院、交通工程训练中心、建筑工程学院、工商管理学院等实验实训场所。
双方在卓越楼五楼第一会议室举行交流会，副校长王守光就我校的历史沿革、校园建设、专业特色、发展规划、教学资源与办学成就向来宾进行详细介绍，同时希望两校在师生互访、师资联合培养、合作办学等方面进行合作。沈建华就
环
球科技大学的基本情况、办学理念及国际交流情况做了简要介绍，希望与我校就开展教育文化交流、交换生联合培养等方面进行合作。
会后，双方互赠礼品并合影留念。
作者：合作开发处

牛翔

编辑：赵珣

编审：汪少龙
",,25,https://www.suet.edu.cn/info/1026/2493.htm
重庆市民办教育协会高职专委会考察团来我校调研, 发布时间: 2019-11-27,"
1
1
月
2
6
日
上午
，
重庆市民办教育协会高职专委会考察团在
副秘书长甘永诚的带领下来我校考察调研
，山东省民办教育协会
副秘书长
张威陪同。我校副校长李梅松
、
评估督导处处长初福民等部门负责人热情接待了甘秘书长一行。
首先，
来宾们在校领导的陪同下参观了
土木工程训练中心、交通工程训练中心、机械工程训练中心、鼎利学院、甲骨文
IT云教育中心、E时代创客中心
等实验实训中心。参观结束后，
甘永诚
对我校先进的实验实训设备和产教深度融合、校企协同育人的教学理念给予了高度赞赏。
随后，双方在卓越楼五楼第一会议室进行座谈交流
,
会议由李梅松副校长主持。
甘永诚
介绍了重庆市民办教育情况。李梅松副校长就学校申本及本科层次职业教育试点工作作经验介绍。双方人员就
“办学治校管理与办学特色”，“专业建设、实习实训、产学合作”，“服务地方产业发展的举措和成效”，“国际合作与交流的举措和成效”
等
方面
进行了
深入
交流。
此次考察团由重庆资源与环境保护职业学院、重庆海联职业技术学院、重庆传媒职业学院、重庆电讯职业学院、重庆能源职业学院、重庆科技职业学院、重庆工程学院、重庆交通职业学院、重庆机电职业技术大学、重庆房地产职业学院、重庆应用技术职业学院等
12所院校的校级领导、职能处室负责人共计20人组成。
作者：党政办公室

王允芹

编辑：赵珣

编审：汪少龙
",,26,https://www.suet.edu.cn/info/1026/2490.htm
德州科技职业学院院长孙京家率考察组一行来校考察调研, 发布时间: 2019-11-27,"
1
1
月
2
7
日
上午
，
德州科技职业学院院长孙京家率考察组一行来校考察调研
。
我校
校长吴梦军、
副校长李梅松，相关部门负责人热情接待了孙京家院长一行。
首先，
来宾们在校领导的陪同下参观了
土木工程训练中心、汽车工程训练中心、机械工程训练中心、鼎利学院、甲骨文
IT云教育中心、E时代创客中心
等实验实训中心。参观结束后，
孙京家院长对我校近几年的巨大变化和升本后全校师生团结向上、意气风发的精神面貌表示高度赞赏。
随后，双方在卓越楼五楼第一会议室进行座谈交流
,
会议由副校长李梅松主持。孙京家院长介绍了德州科技职业学院
“一校两区，三地办学”的办学格局和积极探索职业教育发展方向的战略蓝图。校长吴梦军就我校历史沿革、办学特色、办学成就、申本取得的经验做法等作了具体介绍。副校长李梅松详细介绍了我校申本工作具体实施办法及目前开展本科层次职业教育试点工作取得的一系列成效。
孙京家院长对我校的热情接待表示感谢，希望
两校今后进一步
加强交流与协作，
携手共进，
共同
开创职业教育事业发展新局面
。
作者：
党政办公室

王允芹

编辑：赵珣

编审：汪少龙
",,26,https://www.suet.edu.cn/info/1026/2491.htm
我校党政联席会传达学习党的十九届四中全会精神, 发布时间: 2019-11-27,"
11月26日下午，我校党政联席会在卓越楼第一会议室召开，会议专题传达学习了党的十九届四中全会精神。党委书记胡小林，党委副书记、校长吴梦军及全体校领导、联席会成员出席会议，会议由胡小林书记主持。
会议首先集中学习了新华社
10月31日播发的新闻通稿《中国共产党第十九届中央委员会第四次全体会议公报》。随后，胡小林书记就全校开展学习贯彻党的十九届四中全会精神工作进行了动员部署。他指出，党的
十九届
四
中
全
会是一次具有开创性、里程碑意义的重要会议，是我们党在新时代统揽伟大斗争、伟大工程、伟大事业、伟大梦想的重大战略安排，是对
“
五位一体
”
总体布局和
“
四个全面
”
战略布局的制度性升华，充分体现了我们党的历史自觉、战略眼光和政治担当
。目前全国上下掀起了一股学习党的
十九届
四
中
全
会
精神的热潮。山东省委高校工委也成立了宣讲团，由
100名专家、教授组成。根据安排，12月上旬，宣讲团成员、齐鲁师范学院马克思主义学院院长刘振光教授将来我校宣讲，各有关部门一定要做好组织、准备工作，确保宣讲取得圆满成功。
吴梦军校
长在会上强调，学校党委要把学习宣传贯彻党的十九届四中全会精神作为当前和今后一个时期的最重要的政治任务，深入学习好、宣传好、贯彻好党的十九届四中全会精神。要把学习贯彻全会精神与
“不忘初心、牢记使命”主题教育紧密结合起来，用十九届四中全会精神指导我校职业本科试点工作，深化产教融合，打造特色品牌，提高政治站位，强化责任担当，勇于探索，先行先试，奋力闯出一条本科层次职业教育的创新发展之路。
作者：文化宣传处

汪少龙

编辑：赵珣

编审：林玉贵
",,26,https://www.suet.edu.cn/info/1026/2492.htm
爱心助学  扶贫扶智——山东工程职业技术大学校长助学15岁不幸女孩, 发布时间: 2019-11-29,"
习近平总书记指出
,“扶贫必扶智。让贫困地区的孩子们接受良好教育,是扶贫开发的重要任务,也是阻断贫困代际传递的重要途径。” 11月28日下午“
希望山东

福彩有爱
——
留守儿童
‘
课本剧
’
支教
暨汇报演出
”在山东广播电视台音乐厅举行
。
活动现场，播出了四所被支教小学的学校及学生们的视频短片，视频记录了留守儿童与父母的真情告白；志愿者与孩子们排练课本剧的过程。接下来，孩子们带来了
《小蝌蚪找妈妈》
、
《为中华崛起而读书》
、
《一只窝囊的大老虎》
、
《妈妈
,我等你回家》
4幕由语文课本改编而来的戏剧。来自长清八一希望小学的孩子们带来的《妈妈，我等你回家》击中了观众的泪点，剧中妈妈的扮演者，毕业于这所小学，现在是长清孝里中学毕业的一名初中生。父亲过世，母亲改嫁，家中的顶梁柱爷爷查出癌症，仅第五天，也就是她参加中考的第一天，爷爷去世了，留下年迈的奶奶和弟弟妹妹，一连串的打击让这个只有15岁的小姑娘扛起了家庭所有的重担。刷盘子洗碗，只要能挣点钱就去干活，来养活弟弟妹妹，照顾生病的奶奶。在她的眼中，我们看到了坚毅和顽强，在她的话语中，我们听到了感恩和知恩图报。
“知识改变命运”是这个女孩在舞台上发自内心的呐喊，“上学，是我改变命运的唯一途径，我想等到弟弟妹妹长大一点的时候我就去上学”。主持人告诉女孩，“今天我们节目组要给你一个惊喜，我们邀请到了你心仪已久的大学校长”，此时吴梦军校长当即上台表示:为孩子圆梦
，
山东工程职业技术大学愿意为孩子免除学费、杂费等一切上学的费用，并且提供勤工助学的岗位，帮助孩子完成学业。此时，现场掌声经久不息。
据悉，多年来，学校在吴立春理事长和吴梦军校长的领导下，多次参加公益活动，向社会奉献爱心，响应国家号召，精准扶贫。学校建立了完善的
“奖、助、补、贷、偿”
资助政策，每年都会走访建档立卡的贫困学生家庭，送去资助金、米油面等资助物品，带去温暖。吴校长表示，今后还将继续参加社会公益活动
, 以实际行动帮助那些急需帮助的人,为发展我国的慈善事业,为弘扬中华民族的传统美德做出贡献。

作者：

文化宣传处

王玉珠

编辑：赵珣

编审：魏本江

",,26,https://www.suet.edu.cn/info/1026/2487.htm
我校钮平章教授出席2019年“服务企业万里行”品牌活动项目签约会, 发布时间: 2019-11-29,"
11月27日上午，2019年“推动科技创新 促进动能转换---服务企业万里行”品牌活动项目签约会在槐荫区图书馆举
行
，
我校
机械
工程
学院院长钮平章教授出席
并作
专题发言
。
会上
，
大家一同观看
了
服务企业万里行活动宣传片。槐荫区政协副主席、科协主席马厚强为今年新成立的四家企业科协授牌；山东省科协学会部副部长周刚为山东天岳晶体材料有限公司院士工作站授牌；济南市科协副主席胡辉为三家专家工作站授牌。随后，山东省农业科学植物保护研究所与山东亚龙生物科技有限公司，山东工程职业技术大学与山东科弘微波能有限公司分别完成产学研项目签约，达成战略合作意向。
我校
机械
工程
学院院长钮平章教授
作
专题发言
。
他指出
，
槐荫区科协
“服务企业万里行”品牌活动始终坚持以企业为中心的发展思想，助力创新驱动发展，推动企业科技成果落地转化及推广应用，为推动全区营商环境和新旧动能转换贡献力量。
钮
平章
教授最后表示，
很荣幸能参与到这项活动中来，与企业针对生产经营中出现的问题进行交流分析，与区科协、企业一起为服务企业科技创新出谋划策，促进企业高效精准
地
解决问题，实现创新发展。
作者：
机械工程训练中心

南庆霞

编辑：赵珣

编审：汪少龙
",,26,https://www.suet.edu.cn/info/1026/2488.htm
清华经管EMBA山东校友会走访山东工程职业技术大学, 发布时间: 2019-11-29,"
11月28日下午，清华大学经管学院EMBA教育中心副主任庄丽老师带领清华经管EMBA山东校友会一行5人走访
山东工程职业技术大学。副校长李梅松，党政办公室主任韩启斌、副主任张元全程陪同接待。
来宾们在校领导的陪同下，参观了土木工程训练中心、交通工程训练中心、机械工程训练中心和鼎利学院等实验实训场所。参观结束后，庄丽老师对我校积极对接行业企业标准，以培养高层次技术人才为目标，不断深化产教融合、校企合作的育人模式给予了高度评价。清华经管
EMBA山东校友会成员从我校可持续性发展角度提出建议性意见并表达殷切期望。
山东工程职业技术大学是由教育部批准的全日制本科层次职业技术大学，由清华经管
EMBA08级校友、三庆实业集团总裁吴立春先生创办。二十九年栉风沐雨，二十九载砥砺前行，在吴立春理事长和三庆实业集团的大力支持下，学校2018年升格为本科层次职业院校，2019年5月正式更名为山东工程职业技术大学，成为全国首批本科层次职业教育试点院校之一，实现了发展历史上的新跨越。
作者：党政办公室

王允芹

编辑：赵珣

编审：汪少龙
",,26,https://www.suet.edu.cn/info/1026/2489.htm
人人争做宪法的宣传者、执行者和捍卫者, 发布时间: 2019-12-04,"

《
中华人民共和国宪法
》

是中华人民共和国全国人民代表大会制定和颁布的国家根本大法。规定国家的根本制度和根本任务，公民的基本权利和义务，国家机构的组织原则和职权。宪法具有最高的法律效力，一切法律、法规都必须依据宪法，都不得同宪法相抵触。
全国各族人民、一切国家机关和武装力量、各政党和各社会团体、各企业事业组织，都必须以宪法为根本的活动准则，并且负有维护宪法尊严、保证宪法实施的职责。作为
高校教师和学生
更应及时认真学习贯彻好新宪法。只有学好宪法，才能理解宪法、宣传宪法、维护宪法、遵守宪法，争做新时代宪法的宣传者、执行者和捍卫者。
对教师的要求：
一是要学深吃透宪法。宪法是国家的根本大法，是母法。
高校教师
不仅要学好宪法，而且要理解
宪法的丰富内涵，
要注重理论联系实际，做到学以致用，要做新时代宪法的明白人
。
只有学好宪法，才能让宪法植根于心中，也只有学好宪法，才能
将如何学习
宪法
传递给学生，使宪法
实施成为我们的自觉行动。
二是要大力宣传宪法。作为教师尤其是党员教师，不仅要带头学习宪法，还要带头宣传贯彻
执行
宪法
，
在学习了宪法后，应不断提高自己的综合素质，不断增强依法执教的意识并把学法、知法、守法、用法的意识贯彻到自己的实际生活与教育教学工作中去
，
在今后一段时期内，都要把学习宣传宪法作为宣传工作的重点来安排。
三是要严格遵守宪法。
高校教师
要做新时代宪法的执行者，要时刻保持对宪法的敬畏之心
。此外，还应重视自身的师德修养，要严格要求自己，做到以德服人，以身立教，在平凡的工作中要安贫乐教，甘于奉献、甘为人梯，为学生树立起楷模的形象。严格执行师德师风规范要求，自觉遵守宪法。
四是要坚决捍卫宪法。宪法是新时代推进全面依法治国、推进国家治理体系和治理能力现代化的根本大法，
作为新时代高校教师
，要做新时代宪法的捍卫者
。在教学过程中
坚持做到关心尊重每一个学生，用教师的爱心去化解学生的
各类思想问题
，最大限度的激发学生学习的主观能动性和积极性，从而让他们全身心的投入到学习
宪法
中去
，使学生
在日常生活中养成遵守和维护宪法的习惯
。
对学生的要求
：
一是学生应当认真学习宪法，了解宪法的性质和基本内容。知道哪些行为是宪法提倡和鼓励的，哪些行为是宪法所禁止的，明白宪法不仅是一切国家机关、团体和组织的最高行为准则，也是全体公民的最高行为准则，增强宪法观念，在社会生活中自觉运用宪法的标准去规范自己的行为。
二是要在日常生活中养成遵守和维护宪法的习惯。良好的习惯的是在长期的学习和实践中形成的，高校学生要养成遵守和维护宪法的习惯，就要从日常生活中的小事做起并持之以恒，如不逃课、不缺课，严肃认真对待学习、刻苦学习，认真完成每一次作业，珍惜公民受教育的权利，自觉履行公民的义务等。
三是要以各种形式宣传宪法，并同违反宪法的行为作斗争，时时刻刻用实际行动捍卫宪法的尊严。要将所学的宪法知识，以各种形式向自己的同学、老师、亲朋好友等进行宣传。让周围人也知道宪法的重要性，了解宪法的要求，共同遵守宪法，为建设和谐、美好的家园做出贡献。

作者：赵珣

编辑：赵珣

编审：魏本江

",,26,https://www.suet.edu.cn/info/1026/2485.htm
我校思政课教学部开展校园法律咨询服务活动, 发布时间: 2019-12-04,"
2019
年
12
月
4
日是我国第
6
个国家宪法日暨第
19
个全国法制宣传日。为了进一步普及法律知识，提高学生法律素养，拓宽实践教学实现形式，增强教学效果，构建和谐美好的法治校园，
12
月
4
日中午，我校
思想政治理论课教学
部在学校北苑餐厅前开展了校园法律咨询服务活动。
活动现场，前来咨询的同学们与老师们面对面、一对一地交流，现场气氛十分活跃。同学们带着准备好的法律问题及感兴趣的法律案例前来咨询，咨询的问题大多是日常生活中常遇到的问题，如大学生兼职及实习期间的法律纠纷、同学间的债务纠纷、校园贷、网上购物纠纷、未成年人犯罪及校园暴力、大学生婚姻、个人隐私被泄露如何维权、香港修例等相关法律问题。针对同学们提出的各种法律问题，法学老师们利用自己的法律专业知识，结合我国现行的相关法律规定及现实中的经典法律案例，耐心地为同学们解疑答惑，提供了法律建议和意见。活动中，老师们不仅解决了存在学生心中的疑惑，还注重引导同学们从法律层面思考问题，培养法治思维，增强法律意识，提高法治思维能力
本次法律咨询服务活动取得了良好效果，有的同学留下了老师的联系方式，希望以后能随时向老师咨询遇到的法律问题，老师们均表示欢迎咨询。活动后，前来现场咨询的同学们纷纷表示此次活动收
获
匪浅，他们一致认为作为新时代的大学生应该严格要求自己，努力做到尊法、学法、守法、用法，而且应从身边小事做起，从遵守校规校纪做起，为法治校园建设贡献自己的青春力量。
作者：
思政课教学部

孔德花

编辑：赵珣

编审：汪少龙

",,26,https://www.suet.edu.cn/info/1026/2486.htm
“歌唱祖国 逐梦青春”庆祝中华人民共和国成立70周年暨“一二•九”运动84周年合唱比赛圆满落幕, 发布时间: 2019-12-05,"
12
月5日下午，由学校学工部、团委、党委宣传部主办的“歌唱祖国 逐梦青春
”庆祝中华人民共和国成立70周年暨“一二·九”运动84周年合唱比赛在我校诚基楼报告厅成功举行，官方微信同步全程直播。我校青年学子共同讴歌70年来祖国取得的伟大成就，唱响新时代中国特色社会主义主旋律，为全校师生奉献了一场精彩的视听盛宴。学校副校长李梅松等领导出席本次合唱比赛。
同时，为保证大赛公平公正，特邀请各二级学院的分管领导及党政办公室，党委宣传部，思政教学部，教务处的领导组成本次大赛的评审团。
比赛在嘹亮的团歌声中拉开帷幕，共有来自全校八个二级学院代表队参赛。必选曲目《我和我的祖国》，深情的演绎表达出了我校师生对于祖国的深厚感情。
信息工程学院的歌曲《我们都是追梦人》旋律高亢、催人奋进，唱出了新时代青年胸怀梦想、不懈奋斗的人生追求；工商管理学院《十五的月亮》感情真挚，旋律优美，带给大家极为享受的听觉盛宴；建筑工程学院以及鼎利学院的歌曲《祖国不会忘记》激荡人心的歌声中充满了民族自豪感和自信心；机械工程学院歌曲《没有共产党就没有新中国》优美的旋律表达了我校学子对于中国共产党的赞美以及坚持党的领导的初心和使命。
最终，建筑工程学院荣获一等奖；工商管理学院和现代艺术学院荣获二等奖；机械工程学院、交通工程学院、信息工程学院荣获三等奖。继续教育学院和鼎利荣获优秀组织奖。大赛在大学生艺术团带来的合唱《光荣与梦想》的歌声中圆满落幕。
纪念“一二·九”运动合唱比赛是我校思想政治教育品牌活动。本次比赛以“歌唱祖国 逐梦青春”为主题，用歌声赞美祖国，引导广大青年学生树立远大理想，热爱伟大祖国，担当时代责任，勇于砥砺奋斗，练就过硬本领，锤炼品德修为，把习近平总书记“有理想、有本领、有担当”的殷切嘱托转化为实现中华民族伟大复兴中国梦的强大动力。
作者：团委
皮娜   编辑：赵珣   编审：魏本江
",,26,https://www.suet.edu.cn/info/1026/2484.htm
我校举行防诈骗文艺汇演, 发布时间: 2019-12-06,"
12月5日下午，山东工程职业技术大学
防
诈骗文艺汇演在
卓越楼五楼
党员活动室举行，活动邀请
到
山东警察学院安全宣讲团演出。济南市公安局章丘分局双山第二派出所高伟所长、徐海港副所长，山东警察学院安全保卫处副处长邵明宇，山东工程职业技术大学安全保卫处处长徐永帅，学生处副处长邓妍以及
200名师生
观看了
此次
文艺汇演。
汇演通过小品、相声等形式
联系实际
直观地给学生们展示
了防诈骗案例
，例如：安全账户诈骗、冒充熟人、群发短信、退税中奖、
“仙人跳”、
监听他人手机、冒充法院人员等。
汇演结束后，徐永帅表示，
汇演
旨在让
学生们真切地认识到学习
“
防
诈骗
”等相关安全防范知识的重要性和必要性，希望
通过本次汇演
能提高学生的责任意识、法制意识和自身的防范意识，强化识骗防骗能力。
作者：安全保卫处

张健

编辑：赵珣

编审：汪少龙
",,27,https://www.suet.edu.cn/info/1026/2483.htm
我校大学生艺术团舞蹈《花样年华》获得“地产之声”山东省房地产商会第一届文艺汇演最佳才艺奖、最佳风采奖, 发布时间: 2019-12-09,"
12月7日上午，“地产之声”山东省房地产商会第一届文艺汇演在银丰地产集团多功能报告厅成功举办。我校大学生艺术团在党政办公室主任韩启斌、团委大学生艺术团团长蔡雷停、信息工程学院田娜老师的带领下，代表三庆实业集团参加文艺竞演海选。
本活动由山东省房地产商会、大众网联合主办，银丰地产集团承办
，
来自山东省房地产商会会员单位的百十余位青年才俊参加了此次文艺汇演。
我校大学生艺术团选送的舞蹈《花样年华》用优美的舞姿，展现了我校大学生以及新时代房地产人昂扬向上、砥砺前行的精神面貌，获得
“地产之声”山东省房地产商会第一届文艺汇演最佳才艺奖、最佳风采奖两项荣誉，并成功入选山东省房地产商会首届春晚。
作者：团委

蔡雷停

编辑：赵珣

编审：汪少龙
",,27,https://www.suet.edu.cn/info/1026/2481.htm
我校召开“十四五”教育事业发展规划编制会议, 发布时间: 2019-12-10,"
为进一步明确
学校
“十四五”教育事业发展规划纲要编制的思路及要求，有序推进教育事业规划的编制工作，12月10日上午
，我校
在卓越楼第二会议室召开
“十四五”教育事业发展规划编制思路及框架结构研讨会。学校
副
校长李章
泉，
科技处（发展规划处
）
全体人员
，
各学院（部）、各行政部门负责人出席会议。会议由
副校长李章泉
主持。

“十四五”(2021-2025年)期间是学校全面提升教育教学质量和办学水平，实施“ 本科层次
职业教育
”发展战略，建设“特色鲜明高水平职业技术大学”的关键时期。

李章泉
提出，
“十四五”教育事业发展规划的编制要以习近平新时代中国特色社会主义思想为指导，全面落实国务院
《国家职业教育改革实施方案》
、山东省《
关于办好新时代职业教育的十条意见
》和
教育部关于
开展
本科层次
职业教育试点工作的有关文件
精神
。编制工作以目标为导向、以问题为导向，
坚持
“
工程性、融合型
’”
的
职业办学方向不变，坚持改革创新的领先
意识
不变，坚持攻坚克难精益求精的工匠精神不变。
制定十四五规划是全校每个部门
、
每个学院（部）的事情，必须全面行动，必须集思广义，必须协调一致，必须互相支持，要做好这一点，就要明确一切工作，培养高水平技能人才为中心。所有工作围绕这个中心展开，为这个中心服务，
各部门、各院部
要各司其职，又要互相支持，共同把学校十四五都要做好
。









作者：科技处

肖圣颖


编辑：赵珣


编审：
汪少龙



",,27,https://www.suet.edu.cn/info/1026/2480.htm
